date,new_cases,imported,local,reproduction_rate
28/02/2020,1,1,0,0
29/02/2020,0,0,0,0
1/3/2020,0,0,0,0
2/3/2020,0,0,0,0
3/3/2020,0,0,0,0
4/3/2020,2,1,0,0
5/3/2020,0,0,1,0
6/3/2020,1,1,0,0
7/3/2020,1,0,1,0
8/3/2020,0,0,0,0
9/3/2020,0,0,0,0
10/3/2020,0,0,0,0
11/3/2020,0,0,0,0
12/3/2020,0,0,0,0
13/03/2020,0,0,0,0
14/03/2020,1,0,0,0
15/03/2020,2,1,0,0
16/03/2020,0,2,0,0
17/03/2020,4,0,0,0
18/03/2020,8,4,0,0
19/03/2020,8,8,0,0
20/03/2020,11,0,11,0
21/03/2020,13,0,13,0
22/03/2020,50,0,14,0
23/03/2020,0,0,36,1.88
24/03/2020,53,0,40,1.89
25/03/2020,50,0,47,1.88
26/03/2020,78,0,73,1.84
27/03/2020,85,0,76,1.79
28/03/2020,83,0,78,1.72
29/03/2020,63,0,63,1.64
30/03/2020,75,0,76,1.57
31/03/2020,58,0,48,1.49
1/4/2020,61,0,47,1.42
2/4/2020,89,0,76,1.36
3/4/2020,71,0,49,1.3
4/4/2020,82,0,52,1.23
5/4/2020,89,0,48,1.17
6/4/2020,67,0,39,1.1
7/4/2020,54,0,32,1.03
8/4/2020,50,0,26,0.96
9/4/2020,29,0,23,0.9
10/4/2020,44,0,26,0.84
11/4/2020,29,0,20,0.79
12/4/2020,18,0,18,0.75
13/04/2020,19,0,15,0.7
14/04/2020,17,0,17,0.66
15/04/2020,20,0,6,0.63
16/04/2020,15,0,6,0.59
17/04/2020,8,0,2,0.56
18/04/2020,13,0,8,0.54
19/04/2020,9,0,4,0.52
20/04/2020,9,0,7,0.5
21/04/2020,5,0,2,0.47
22/04/2020,6,0,6,0.46
23/04/2020,5,0,2,0.44
24/04/2020,5,0,2,0.43
25/04/2020,9,0,3,0.42
26/04/2020,0,0,4,0.41
27/04/2020,3,0,1,0.4
28/04/2020,2,0,2,0.39
29/04/2020,2,0,2,0.39
30/04/2020,3,0,3,0.39
1/5/2020,6,1,2,0.39
2/5/2020,2,0,2,0.38
3/5/2020,0,0,2,0.37
4/5/2020,0,0,0,0.38
5/5/2020,2,0,0,0.38
6/5/2020,1,0,1,0.38
7/5/2020,1,0,1,0.38
8/5/2020,2,0,2,0.38
9/5/2020,2,0,1,0.39
10/5/2020,3,1,1,0.39
11/5/2020,0,1,2,0.38
12/5/2020,0,0,0,0.37
13/05/2020,0,0,0,0.37
14/05/2020,1,0,0,0.37
15/05/2020,0,0,1,0.38
16/05/2020,1,0,0,0.39
17/05/2020,0,0,1,0.4
18/05/2020,0,0,0,0.41
19/05/2020,4,0,0,0.43
20/05/2020,0,0,0,0.39
21/05/2020,1,0,0,0.37
22/05/2020,0,0,1,0.33
23/05/2020,0,0,0,0.3
24/05/2020,0,0,0,0.28
25/05/2020,0,0,0,0.26
26/05/2020,0,0,0,0.24
27/05/2020,0,0,0,0.23
28/05/2020,0,0,0,0.22
29/05/2020,0,0,0,0.22
30/05/2020,0,0,0,0.21
31/05/2020,0,0,0,0.22
1/6/2020,0,0,0,0.22
2/6/2020,0,0,0,0.23
3/6/2020,0,0,0,0.24
4/6/2020,0,0,0,0.25
5/6/2020,0,0,0,0.27
6/6/2020,0,0,0,0.29
7/6/2020,0,0,0,0.32
8/6/2020,0,0,0,0.35
9/6/2020,0,0,0,0.39
10/6/2020,0,0,0,0.43
11/6/2020,0,0,0,0.48
12/6/2020,0,0,0,0.54
13/06/2020,0,0,0,0.6
14/06/2020,0,0,0,0.68
15/06/2020,2,0,0,0.76
16/06/2020,0,2,0,0.85
17/06/2020,1,0,0,0.95
18/06/2020,0,1,0,1.01
19/06/2020,2,0,0,1.08
20/06/2020,2,2,0,1.16
21/06/2020,2,2,0,1.2
22/06/2020,2,2,0,1.21
23/06/2020,1,2,0,1.21
24/06/2020,3,1,0,1.22
25/06/2020,1,3,0,1.2
26/06/2020,2,1,0,1.19
27/06/2020,4,2,0,1.17
28/06/2020,2,4,0,1.14
29/06/2020,0,2,0,1.09
30/06/2020,0,0,0,1.07
1/7/2020,2,0,0,1.06
2/7/2020,0,2,0,1.05
3/7/2020,0,0,0,1.06
4/7/2020,3,0,0,1.07
5/7/2020,1,3,0,1.07
6/7/2020,2,1,0,1.07
7/7/2020,1,2,0,1.06
8/7/2020,3,1,0,1.05
9/7/2020,2,3,0,1.03
10/7/2020,1,2,0,1
11/7/2020,1,1,0,0.98
12/7/2020,0,1,0,0.97
13/07/2020,1,0,0,0.97
14/07/2020,2,1,0,0.97
15/07/2020,1,2,0,0.96
16/07/2020,1,1,0,0.96
17/07/2020,1,1,0,0.95
18/07/2020,3,1,0,0.95
19/07/2020,1,3,0,0.93
20/07/2020,1,1,0,0.91
21/07/2020,0,1,0,0.89
22/07/2020,0,0,0,0.88
23/07/2020,1,0,0,0.9
24/07/2020,0,1,0,0.9
25/07/2020,0,0,0,0.92
26/07/2020,0,0,0,0.97
27/07/2020,1,0,0,1.02
28/07/2020,2,1,0,1.06
29/07/2020,1,2,0,1.07
30/07/2020,0,1,0,1.08
31/07/2020,2,0,0,1.11
1/8/2020,3,2,0,1.11
2/8/2020,2,3,0,1.09
3/8/2020,0,2,0,1.05
4/8/2020,2,0,0,1.03
5/8/2020,0,2,0,1
6/8/2020,0,0,0,0.98
7/8/2020,0,0,0,0.98
8/8/2020,0,0,0,0.99
9/8/2020,0,0,0,1.03
10/8/2020,1,0,0,1.07
11/8/2020,0,1,4,1.11
12/8/2020,19,1,0,1.17
13/08/2020,13,1,13,1.22
14/08/2020,7,0,13,1.23
15/08/2020,13,0,7,1.24
16/08/2020,9,1,12,1.22
17/08/2020,12,0,9,1.2
18/08/2020,6,0,13,1.17
19/08/2020,5,1,5,1.15
20/08/2020,11,0,5,1.13
21/08/2020,6,2,9,1.1
22/08/2020,3,0,6,1.08
23/08/2020,9,2,1,1.08
24/08/2020,7,1,8,1.06
25/08/2020,5,0,7,1.05
26/08/2020,7,2,3,1.05
27/08/2020,12,1,6,1.04
28/08/2020,13,7,5,1.02
29/08/2020,2,2,11,0.99
30/08/2020,9,0,2,0.98
31/08/2020,14,4,5,0.95
1/9/2020,5,9,5,0.91
2/9/2020,2,2,3,0.88
3/9/2020,5,1,1,0.86
4/9/2020,3,2,3,0.84
5/9/2020,5,1,2,0.83
6/9/2020,4,1,4,0.82
7/9/2020,6,2,2,0.81
8/9/2020,6,2,4,0.79
9/9/2020,4,0,6,0.77
10/9/2020,1,2,2,0.76
11/9/2020,2,0,2,0.75
12/9/2020,2,1,1,0.75
13/09/2020,1,0,1,0.75
14/09/2020,3,3,0,0.76
15/09/2020,1,1,0,0.77
16/09/2020,7,7,0,0.79
17/09/2020,0,0,0,0.78
18/09/2020,2,1,1,0.79
19/09/2020,4,2,2,0.8
20/09/2020,0,0,0,0.81
21/09/2020,0,0,0,0.82
22/09/2020,9,3,0,0.85
23/09/2020,3,3,0,0.83
24/09/2020,2,1,1,0.81
25/09/2020,2,1,0,0.79
26/09/2020,2,2,0,0.78
27/09/2020,0,2,0,0.77
28/09/2020,2,0,0,0.76
29/09/2020,1,2,0,0.76
30/09/2020,12,1,0,0.76
1/10/2020,0,12,0,0.76
2/10/2020,1,0,0,0.77
3/10/2020,5,1,0,0.8
4/10/2020,1,5,0,0.81
5/10/2020,3,1,0,0.82
6/10/2020,3,3,0,0.82
7/10/2020,3,3,0,0.82
8/10/2020,2,3,0,0.82
9/10/2020,4,2,0,0.83
10/10/2020,1,4,0,0.82
11/10/2020,0,1,0,0.82
12/10/2020,1,0,0,0.83
13/10/2020,2,1,0,0.85
14/10/2020,2,2,0,0.87
15/10/2020,4,2,0,0.88
16/10/2020,3,4,0,0.88
17/10/2020,3,3,0,0.88
18/10/2020,0,2,1,0.87
19/10/2020,1,0,0,0.87
20/10/2020,25,1,0,0.87
21/10/2020,2,23,2,0.88
22/10/2020,9,2,0,0.89
23/10/2020,11,8,1,0.89
24/10/2020,1,11,0,0.87
25/10/2020,5,0,0,0.86
26/10/2020,1,5,0,0.85
27/10/2020,2,1,0,0.85
28/10/2020,6,2,0,0.86
29/10/2020,1,6,0,0.86
30/10/2020,7,1,0,0.87
31/10/2020,2,7,0,0.86
1/11/2020,4,2,0,0.87
2/11/2020,5,4,1,0.87
3/11/2020,3,4,2,0.86
4/11/2020,2,1,1,0.86
5/11/2020,1,2,0,0.87
6/11/2020,2,1,0,0.88
7/11/2020,6,0,1,0.9
8/11/2020,4,5,1,0.91
9/11/2020,1,4,0,0.9
10/11/2020,1,1,0,0.91
11/11/2020,3,1,0,0.93
12/11/2020,4,1,2,0.95
13/11/2020,3,1,0,0.96
14/11/2020,3,3,0,0.97
15/11/2020,0,2,1,0.99
16/11/2020,4,1,0,1.01
17/11/2020,3,4,0,1.03
18/11/2020,2,3,0,1.05
19/11/2020,3,2,0,1.07
20/11/2020,6,3,0,1.1
21/11/2020,9,5,1,1.11
22/11/2020,2,9,0,1.09
23/11/2020,1,2,0,1.08
24/11/2020,8,2,0,1.08
25/11/2020,1,8,0,1.06
26/11/2020,7,7,0,1.06
27/11/2020,3,7,0,1.04
28/11/2020,0,4,0,1.03
29/11/2020,6,1,0,1.04
30/11/2020,3,4,0,1.03
1/12/2020,1,3,0,1.02
2/12/2020,9,1,0,1.03
3/12/2020,0,9,0,1.01
4/12/2020,9,0,0,1.01
5/12/2020,0,9,0,0.98
6/12/2020,1,0,0,0.97
7/12/2020,6,1,0,0.97
8/12/2020,3,6,0,0.95
9/12/2020,0,3,0,0.93
10/12/2020,4,0,0,0.93
11/12/2020,0,6,0,0.93
12/12/2020,4,1,0,0.94
13/12/2020,0,3,0,0.95
14/12/2020,0,0,0,0.96
15/12/2020,4,0,0,1
16/12/2020,0,4,0,1.01
17/12/2020,10,0,0,1.05
18/12/2020,0,10,0,1.02
19/12/2020,6,0,0,1.01
20/12/2020,5,6,0,0.99
21/12/2020,0,5,0,0.95
22/12/2020,7,0,0,0.93
23/12/2020,0,7,0,0.88
24/12/2020,0,0,0,0.85
25/12/2020,0,0,0,0.84
26/12/2020,16,0,0,0.83
27/12/2020,0,7,0,0.83
28/12/2020,7,0,0,0.83
29/12/2020,0,11,0,0.82
30/12/2020,11,2,0,0.82
31/12/2020,0,2,0,0.78
1/1/2021,0,0,0,0.76
2/1/2021,19,0,0,0.74
3/1/2021,0,18,0,0.72
4/1/2021,5,6,0,0.71
5/1/2021,0,0,0,0.7
6/1/2021,2,4,0,0.69
7/1/2021,0,0,0,0.69
8/1/2021,0,0,0,0.71
9/1/2021,31,0,0,0.72
10/1/2021,3,23,0,0.74
