date,delta,total cases,percentage
28/02/2020,0,1,0
29/02/2020,0,1,0
1/3/2020,0,1,0
2/3/2020,0,1,0
3/3/2020,0,1,0
4/3/2020,0,2,0
5/3/2020,0,1,0
6/3/2020,0,1,0
7/3/2020,0,1,0
8/3/2020,0,1,0
9/3/2020,0,0,0
10/3/2020,0,0,0
11/3/2020,0,0,0
12/3/2020,0,1,0
13/03/2020,0,1,0
14/03/2020,0,1,0
15/03/2020,0,1,0
16/03/2020,0,7,0
17/03/2020,0,12,0
18/03/2020,0,5,0
19/03/2020,0,18,0
20/03/2020,0,11,0
21/03/2020,0,24,0
22/03/2020,0,44,0
23/03/2020,0,41,0
24/03/2020,0,58,0
25/03/2020,0,84,0
26/03/2020,0,79,0
27/03/2020,0,75,0
28/03/2020,0,72,0
29/03/2020,0,74,0
30/03/2020,0,52,0
31/03/2020,0,77,0
1/4/2020,0,73,0
2/4/2020,0,82,0
3/4/2020,0,75,0
4/4/2020,0,77,0
5/4/2020,0,70,0
6/4/2020,0,53,0
7/4/2020,0,37,0
8/4/2020,0,28,0
9/4/2020,0,44,0
10/4/2020,0,27,0
11/4/2020,0,25,0
12/4/2020,0,20,0
13/04/2020,0,11,0
14/04/2020,0,16,0
15/04/2020,0,11,0
16/04/2020,0,17,0
17/04/2020,0,12,0
18/04/2020,0,10,0
19/04/2020,0,10,0
20/04/2020,0,3,0
21/04/2020,0,6,0
22/04/2020,0,5,0
23/04/2020,0,5,0
24/04/2020,0,6,0
25/04/2020,0,6,0
26/04/2020,0,3,0
27/04/2020,0,3,0
28/04/2020,0,1,0
29/04/2020,0,2,0
30/04/2020,0,3,0
1/5/2020,0,6,0
2/5/2020,0,1,0
3/5/2020,0,1,0
4/5/2020,0,0,0
5/5/2020,0,2,0
6/5/2020,0,2,0
7/5/2020,0,1,0
8/5/2020,0,1,0
9/5/2020,0,1,0
10/5/2020,0,3,0
11/5/2020,0,0,0
12/5/2020,0,0,0
13/05/2020,0,0,0
14/05/2020,0,1,0
15/05/2020,0,1,0
16/05/2020,0,0,0
17/05/2020,0,0,0
18/05/2020,0,0,0
19/05/2020,0,0,0
20/05/2020,0,0,0
21/05/2020,0,1,0
22/05/2020,0,2,0
23/05/2020,0,0,0
24/05/2020,0,0,0
25/05/2020,0,0,0
26/05/2020,0,0,0
27/05/2020,0,0,0
28/05/2020,0,0,0
29/05/2020,0,0,0
30/05/2020,0,0,0
31/05/2020,0,0,0
1/6/2020,0,0,0
2/6/2020,0,0,0
3/6/2020,0,0,0
4/6/2020,0,0,0
5/6/2020,0,0,0
6/6/2020,0,0,0
7/6/2020,0,0,0
8/6/2020,0,0,0
9/6/2020,0,0,0
10/6/2020,0,0,0
11/6/2020,0,0,0
12/6/2020,0,0,0
13/06/2020,0,0,0
14/06/2020,0,0,0
15/06/2020,0,0,0
16/06/2020,0,2,0
17/06/2020,0,1,0
18/06/2020,0,1,0
19/06/2020,0,2,0
20/06/2020,0,1,0
21/06/2020,0,3,0
22/06/2020,0,2,0
23/06/2020,0,1,0
24/06/2020,0,3,0
25/06/2020,0,1,0
26/06/2020,0,1,0
27/06/2020,0,5,0
28/06/2020,0,1,0
29/06/2020,0,1,0
30/06/2020,0,1,0
1/7/2020,0,1,0
2/7/2020,0,0,0
3/7/2020,0,1,0
4/7/2020,0,1,0
5/7/2020,0,2,0
6/7/2020,0,2,0
7/7/2020,0,1,0
8/7/2020,0,1,0
9/7/2020,0,1,0
10/7/2020,0,3,0
11/7/2020,0,0,0
12/7/2020,0,0,0
13/07/2020,0,1,0
14/07/2020,0,3,0
15/07/2020,0,0,0
16/07/2020,0,1,0
17/07/2020,0,2,0
18/07/2020,0,2,0
19/07/2020,0,1,0
20/07/2020,0,1,0
21/07/2020,0,0,0
22/07/2020,0,0,0
23/07/2020,0,0,0
24/07/2020,0,1,0
25/07/2020,0,1,0
26/07/2020,0,1,0
27/07/2020,0,2,0
28/07/2020,0,1,0
29/07/2020,0,1,0
30/07/2020,0,1,0
31/07/2020,0,1,0
1/8/2020,0,2,0
2/8/2020,0,3,0
3/8/2020,0,0,0
4/8/2020,0,2,0
5/8/2020,0,0,0
6/8/2020,0,0,0
7/8/2020,0,0,0
8/8/2020,0,0,0
9/8/2020,0,0,0
10/8/2020,0,0,0
11/8/2020,0,5,0
12/8/2020,0,15,0
13/08/2020,0,12,0
14/08/2020,0,5,0
15/08/2020,0,14,0
16/08/2020,0,12,0
17/08/2020,0,9,0
18/08/2020,0,11,0
19/08/2020,0,5,0
20/08/2020,0,7,0
21/08/2020,0,7,0
22/08/2020,0,4,0
23/08/2020,0,8,0
24/08/2020,0,7,0
25/08/2020,0,4,0
26/08/2020,0,7,0
27/08/2020,0,6,0
28/08/2020,0,18,0
29/08/2020,0,4,0
30/08/2020,0,5,0
31/08/2020,0,14,0
1/9/2020,0,6,0
2/9/2020,0,5,0
3/9/2020,0,3,0
4/9/2020,0,5,0
5/9/2020,0,7,0
6/9/2020,0,3,0
7/9/2020,0,6,0
8/9/2020,0,6,0
9/9/2020,0,3,0
10/9/2020,0,2,0
11/9/2020,0,2,0
12/9/2020,0,2,0
13/09/2020,0,1,0
14/09/2020,0,5,0
15/09/2020,0,12,0
16/09/2020,0,12,0
17/09/2020,0,0,0
18/09/2020,0,3,0
19/09/2020,0,3,0
20/09/2020,0,1,0
21/09/2020,0,3,0
22/09/2020,0,3,0
23/09/2020,0,2,0
24/09/2020,0,1,0
25/09/2020,0,2,0
26/09/2020,0,2,0
27/09/2020,0,1,0
28/09/2020,0,1,0
29/09/2020,0,0,0
30/09/2020,0,6,0
1/10/2020,0,6,0
2/10/2020,0,2,0
3/10/2020,0,4,0
4/10/2020,0,2,0
5/10/2020,0,3,0
6/10/2020,0,2,0
7/10/2020,0,3,0
8/10/2020,0,3,0
9/10/2020,0,4,0
10/10/2020,0,0,0
11/10/2020,0,3,0
12/10/2020,0,1,0
13/10/2020,0,2,0
14/10/2020,0,1,0
15/10/2020,0,5,0
16/10/2020,0,1,0
17/10/2020,0,4,0
18/10/2020,0,1,0
19/10/2020,0,1,0
20/10/2020,0,22,0
