date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
28/02/2020,4,4,-4,13,19,-2
29/02/2020,6,13,-2,3,5,0
1/3/2020,1,4,-1,8,1,1
2/3/2020,-4,-1,-10,16,34,-2
3/3/2020,-4,0,-6,8,17,-1
4/3/2020,-2,0,-17,9,16,-1
5/3/2020,0,1,-15,10,20,-1
6/3/2020,4,2,-9,9,19,-1
7/3/2020,7,4,2,3,6,1
8/3/2020,3,4,-6,5,1,1
9/3/2020,-6,-4,-18,12,30,-2
10/3/2020,-4,-2,-11,6,16,0
11/3/2020,-3,-2,-14,7,16,-1
12/3/2020,-2,-1,-15,7,19,-1
13/03/2020,2,0,-12,6,18,-1
14/03/2020,4,3,0,-2,6,1
15/03/2020,-1,6,-8,-2,1,1
16/03/2020,-7,5,-19,3,30,-1
17/03/2020,-9,10,-22,-9,13,1
18/03/2020,-8,13,-22,-10,10,2
19/03/2020,-10,22,-34,-14,12,3
20/03/2020,-13,12,-37,-20,9,5
21/03/2020,-17,6,-38,-32,0,8
22/03/2020,-25,-4,-36,-36,-8,8
23/03/2020,-12,29,-50,-34,6,6
24/03/2020,-19,12,-52,-51,-32,16
25/03/2020,-38,4,-52,-61,-49,20
26/03/2020,-92,-58,-77,-84,-74,35
27/03/2020,-91,-48,-80,-84,-74,38
28/03/2020,-92,-53,-80,-84,-63,26
29/03/2020,-91,-54,-78,-84,-59,22
30/03/2020,-88,-44,-73,-85,-71,30
31/03/2020,-87,-38,-66,-85,-75,33
1/4/2020,-87,-38,-66,-85,-74,34
2/4/2020,-88,-37,-69,-85,-74,34
3/4/2020,-89,-37,-72,-86,-73,37
4/4/2020,-91,-46,-75,-84,-60,25
5/4/2020,-90,-48,-74,-84,-57,21
6/4/2020,-88,-39,-71,-85,-70,30
7/4/2020,-88,-35,-67,-85,-74,33
8/4/2020,-87,-31,-74,-85,-74,33
9/4/2020,-86,-18,-77,-85,-73,33
10/4/2020,-95,-91,-68,-89,-88,42
11/4/2020,-88,-33,-75,-82,-58,24
12/4/2020,-92,-59,-77,-85,-59,22
13/04/2020,-91,-45,-76,-89,-85,34
14/04/2020,-89,-37,-77,-87,-74,34
15/04/2020,-88,-36,-76,-86,-73,34
16/04/2020,-89,-35,-75,-86,-72,34
17/04/2020,-90,-37,-81,-87,-72,37
18/04/2020,-91,-45,-77,-84,-57,25
19/04/2020,-91,-50,-77,-85,-55,21
20/04/2020,-89,-42,-71,-85,-68,29
21/04/2020,-87,-36,-66,-85,-71,33
22/04/2020,-87,-35,-64,-84,-70,33
23/04/2020,-88,-35,-74,-85,-68,33
24/04/2020,-88,-31,-68,-84,-66,35
25/04/2020,-89,-53,-69,-81,-56,24
26/04/2020,-88,-37,-69,-82,-49,20
27/04/2020,-89,-41,-63,-87,-81,32
28/04/2020,-68,-28,-48,-73,-47,22
29/04/2020,-70,-30,-51,-72,-48,14
30/04/2020,-81,-25,-53,-69,-46,24
1/5/2020,-80,-23,-51,-69,-44,25
2/5/2020,-83,-29,-56,-65,-34,18
3/5/2020,-87,-38,-72,-76,-39,18
4/5/2020,-80,-30,-59,-70,-37,20
5/5/2020,-81,-29,-64,-72,-46,24
6/5/2020,-79,-23,-48,-68,-44,23
7/5/2020,-72,-25,-55,-70,-42,23
8/5/2020,-70,-21,-51,-70,-40,24
9/5/2020,-71,-20,-41,-64,-27,16
10/5/2020,-72,-25,-44,-68,-30,14
11/5/2020,-72,-33,-54,-70,-33,19
12/5/2020,-70,-25,-52,-70,-40,22
13/05/2020,-70,-25,-53,-68,-39,21
14/05/2020,-35,-9,-45,-50,-28,15
15/05/2020,-35,-8,-42,-48,-28,16
16/05/2020,-31,-8,-35,-32,-12,8
17/05/2020,-34,-10,-33,-38,-17,8
18/05/2020,-33,-10,-39,-39,-2,8
19/05/2020,-36,-10,-37,-42,-14,11
20/05/2020,-29,-13,-38,-47,-14,11
21/05/2020,-28,-12,-42,-47,-10,11
22/05/2020,-24,-8,-39,-45,-9,11
23/05/2020,-18,-9,-33,-38,-7,7
24/05/2020,-25,-15,-53,-52,-16,8
25/05/2020,-29,-16,-57,-48,-1,9
26/05/2020,-27,-12,-41,-46,-9,10
27/05/2020,-26,-12,-45,-44,-9,10
28/05/2020,-24,-9,-40,-40,-5,9
29/05/2020,-20,-5,-45,-40,-9,9
30/05/2020,-12,-4,-26,-31,-5,5
31/05/2020,-15,-13,-31,-41,-11,5
1/6/2020,-18,-9,-34,-56,-72,17
2/6/2020,-29,-11,-36,-41,-8,8
3/6/2020,-27,-12,-40,-39,-6,9
4/6/2020,-27,-10,-51,-41,-2,9
5/6/2020,-16,-9,-51,-43,-2,9
6/6/2020,-8,-8,-41,-41,-2,7
7/6/2020,-12,-10,-38,-46,-8,7
8/6/2020,-21,-14,-40,-41,9,6
9/6/2020,-19,-11,-35,-41,-3,7
10/6/2020,-17,-12,-35,-38,-3,7
11/6/2020,-14,-10,-40,-38,1,7
12/6/2020,-9,-7,-45,-36,0,7
13/06/2020,-1,-4,-30,-33,1,5
14/06/2020,-6,-8,-33,-33,-4,5
