date,str,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
28/02/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
29/02/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
1/03/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
2/03/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
3/03/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
4/03/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
5/03/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
6/03/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
7/03/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
8/03/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
9/03/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
10/03/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
11/03/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
12/03/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
13/03/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
14/03/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
15/03/2020,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
16/03/2020,36.11,28.65,32.74,0,0,0,2,2,0,0,0,3,0,0,2,1,2,0,0,0
17/03/2020,36.11,33.33,32.74,37.5,0,0,2,2,0,0,0,3,2,0,2,1,2,0,0,0
18/03/2020,36.11,33.33,32.74,37.5,0,0,2,2,0,0,0,3,2,0,2,1,2,0,0,0
19/03/2020,36.11,33.33,32.74,37.5,0,0,2,2,0,0,0,3,2,0,2,1,2,0,0,0
20/03/2020,38.89,34.9,34.52,37.5,0,0,2,2,0,0,0,4,2,0,2,1,2,0,0,0
21/03/2020,58.33,45.83,47.02,37.5,1,1,2,3,0,1,1,4,2,0,2,1,2,0,0,0
22/03/2020,58.33,45.83,47.02,37.5,1,1,2,3,0,1,1,4,2,0,2,1,2,0,0,0
23/03/2020,79.63,57.81,60.71,37.5,1,2,2,4,1,2,2,4,2,0,2,1,2,0,0,0
24/03/2020,87.04,65.1,65.48,62.5,3,2,2,4,1,2,2,4,2,1,2,1,2,0,0,0
25/03/2020,90.74,73.44,75,62.5,3,3,2,4,1,2,2,4,2,1,2,1,2,0,0,3
26/03/2020,96.3,76.56,78.57,62.5,3,3,2,4,2,2,2,4,2,1,2,1,2,0,0,3
27/03/2020,96.3,76.56,78.57,62.5,3,3,2,4,2,2,2,4,2,1,2,1,2,0,0,3
28/03/2020,96.3,76.56,78.57,62.5,3,3,2,4,2,2,2,4,2,1,2,1,2,0,0,3
29/03/2020,96.3,76.56,78.57,62.5,3,3,2,4,2,2,2,4,2,1,2,1,2,0,0,3
30/03/2020,96.3,76.56,78.57,62.5,3,3,2,4,2,2,2,4,2,1,2,1,2,0,0,3
31/03/2020,96.3,76.56,78.57,62.5,3,3,2,4,2,2,2,4,2,1,2,1,2,0,0,3
