date,Total Doses*,per 100 people,New Doses,Reported Doses,Vaccinated,%,Completed Vaccination,%,population size,,
28/02/2020,0,0,0,0,,0.00%,0,0.00%,5082800,,
29/02/2020,0,0,0,0,,0.00%,0,0.00%,5082879,,
1/03/2020,0,0,0,0,,0.00%,0,0.00%,5082957,,
2/03/2020,0,0,0,0,,0.00%,0,0.00%,5083036,,
3/03/2020,0,0,0,0,,0.00%,0,0.00%,5083115,,
4/03/2020,0,0,0,0,,0.00%,0,0.00%,5083194,,
5/03/2020,0,0,0,0,,0.00%,0,0.00%,5083272,,
6/03/2020,0,0,0,0,,0.00%,0,0.00%,5083351,,
7/03/2020,0,0,0,0,,0.00%,0,0.00%,5083430,,
8/03/2020,0,0,0,0,,0.00%,0,0.00%,5083509,,
9/03/2020,0,0,0,0,,0.00%,0,0.00%,5083587,,
10/03/2020,0,0,0,0,,0.00%,0,0.00%,5083666,,
11/03/2020,0,0,0,0,,0.00%,0,0.00%,5083745,,
12/03/2020,0,0,0,0,,0.00%,0,0.00%,5083823,,
13/03/2020,0,0,0,0,,0.00%,0,0.00%,5083902,,
14/03/2020,0,0,0,0,,0.00%,0,0.00%,5083981,,
15/03/2020,0,0,0,0,,0.00%,0,0.00%,5084060,,
16/03/2020,0,0,0,0,,0.00%,0,0.00%,5084138,,
17/03/2020,0,0,0,0,,0.00%,0,0.00%,5084217,,
18/03/2020,0,0,0,0,,0.00%,0,0.00%,5084296,,
19/03/2020,0,0,0,0,,0.00%,0,0.00%,5084374,,
20/03/2020,0,0,0,0,,0.00%,0,0.00%,5084453,,
21/03/2020,0,0,0,0,,0.00%,0,0.00%,5084532,,
22/03/2020,0,0,0,0,,0.00%,0,0.00%,5084611,,
23/03/2020,0,0,0,0,,0.00%,0,0.00%,5084689,,
24/03/2020,0,0,0,0,,0.00%,0,0.00%,5084768,,
25/03/2020,0,0,0,0,,0.00%,0,0.00%,5084847,,
26/03/2020,0,0,0,0,,0.00%,0,0.00%,5084926,,
27/03/2020,0,0,0,0,,0.00%,0,0.00%,5085004,,
28/03/2020,0,0,0,0,,0.00%,0,0.00%,5085083,,
29/03/2020,0,0,0,0,,0.00%,0,0.00%,5085162,,
30/03/2020,0,0,0,0,,0.00%,0,0.00%,5085240,,
31/03/2020,0,0,0,0,,0.00%,0,0.00%,5085319,,
1/04/2020,0,0,0,0,,0.00%,0,0.00%,5085398,,
2/04/2020,0,0,0,0,,0.00%,0,0.00%,5085477,,
3/04/2020,0,0,0,0,,0.00%,0,0.00%,5085555,,
4/04/2020,0,0,0,0,,0.00%,0,0.00%,5085634,,
5/04/2020,0,0,0,0,,0.00%,0,0.00%,5085713,,
6/04/2020,0,0,0,0,,0.00%,0,0.00%,5085791,,
7/04/2020,0,0,0,0,,0.00%,0,0.00%,5085870,,
8/04/2020,0,0,0,0,,0.00%,0,0.00%,5085949,,
9/04/2020,0,0,0,0,,0.00%,0,0.00%,5086028,,
10/04/2020,0,0,0,0,,0.00%,0,0.00%,5086106,,
11/04/2020,0,0,0,0,,0.00%,0,0.00%,5086185,,
12/04/2020,0,0,0,0,,0.00%,0,0.00%,5086264,,
13/04/2020,0,0,0,0,,0.00%,0,0.00%,5086343,,
14/04/2020,0,0,0,0,,0.00%,0,0.00%,5086421,,
15/04/2020,0,0,0,0,,0.00%,0,0.00%,5086500,,
16/04/2020,0,0,0,0,,0.00%,0,0.00%,5086579,,
17/04/2020,0,0,0,0,,0.00%,0,0.00%,5086657,,
18/04/2020,0,0,0,0,,0.00%,0,0.00%,5086736,,
19/04/2020,0,0,0,0,,0.00%,0,0.00%,5086815,,
20/04/2020,0,0,0,0,,0.00%,0,0.00%,5086894,,
21/04/2020,0,0,0,0,,0.00%,0,0.00%,5086972,,
22/04/2020,0,0,0,0,,0.00%,0,0.00%,5087051,,
23/04/2020,0,0,0,0,,0.00%,0,0.00%,5087130,,
24/04/2020,0,0,0,0,,0.00%,0,0.00%,5087209,,
25/04/2020,0,0,0,0,,0.00%,0,0.00%,5087287,,
26/04/2020,0,0,0,0,,0.00%,0,0.00%,5087366,,
27/04/2020,0,0,0,0,,0.00%,0,0.00%,5087445,,
28/04/2020,0,0,0,0,,0.00%,0,0.00%,5087523,,
29/04/2020,0,0,0,0,,0.00%,0,0.00%,5087602,,
30/04/2020,0,0,0,0,,0.00%,0,0.00%,5087681,,
